Local time,Ask,Bid,AskVolume,BidVolume
27.07.2020 05:01:45.182 GMT+0700,1900.912,1899.768,370,370
27.07.2020 05:01:45.232 GMT+0700,1900.972,1899.768,370,370
27.07.2020 05:01:45.600 GMT+0700,1900.802,1899.768,370,370
27.07.2020 05:01:45.701 GMT+0700,1900.922,1899.798,370,370
27.07.2020 05:01:45.802 GMT+0700,1900.962,1899.798,370,370
27.07.2020 05:01:47.007 GMT+0700,1900.742,1899.798,370,370
27.07.2020 05:01:47.058 GMT+0700,1901.022,1899.828,370,370
27.07.2020 05:01:47.159 GMT+0700,1901.062,1899.848,370,370
27.07.2020 05:01:47.361 GMT+0700,1901.082,1899.888,370,370
27.07.2020 05:01:47.462 GMT+0700,1901.122,1899.928,370,370
27.07.2020 05:01:52.892 GMT+0700,1901.202,1899.988,370,370
27.07.2020 05:01:54.420 GMT+0700,1900.932,1899.988,370,370
27.07.2020 05:01:54.470 GMT+0700,1900.902,1899.938,370,370
27.07.2020 05:01:54.521 GMT+0700,1901.092,1899.938,370,370
27.07.2020 05:01:56.952 GMT+0700,1900.952,1899.848,370,370
27.07.2020 05:01:57.002 GMT+0700,1901.102,1899.698,370,75
27.07.2020 05:01:57.737 GMT+0700,1900.972,1899.748,370,370
27.07.2020 05:01:58.971 GMT+0700,1901.032,1899.788,370,370
27.07.2020 05:01:59.021 GMT+0700,1901.032,1899.798,370,75
27.07.2020 05:02:00.054 GMT+0700,1901.022,1899.918,370,370
27.07.2020 05:02:00.216 GMT+0700,1901.022,1899.998,370,370
27.07.2020 05:02:00.362 GMT+0700,1901.022,1899.798,370,75
27.07.2020 05:02:00.865 GMT+0700,1900.872,1899.798,370,75
27.07.2020 05:02:00.966 GMT+0700,1901.042,1899.798,370,450
27.07.2020 05:02:01.016 GMT+0700,1900.852,1899.798,370,370
27.07.2020 05:02:01.067 GMT+0700,1901.042,1899.818,370,370
27.07.2020 05:02:01.314 GMT+0700,1901.062,1899.868,370,370
27.07.2020 05:02:04.572 GMT+0700,1900.952,1899.848,370,370
